,Unnamed: 0,QId,QPostTypeId,QAcceptedAnswerId,QOwnerUserId,QAnswerCount,QCommentCount,QFavoriteCount,QCommunityOwnedDate,QCreationDate,QScore,QViewCount,QTitle,QBody,QTags,QStackTrace,Webpack,React,Express
138,138,8696556,1,8696815,151939,1.0,1.0,0.0,0.0,2012-01-02T00:36:06.590,0.0,227.0,Express 2.5.3 not working on Mac OS 10.6 (Snow Leopard),"<p>I've installed node, npm and express on my Mac OS 10.6.8 machine. Node has been installed and is under version v0.4.11. Npm has been installed and is under version 1.0.106. </p>

<p>Express has also been installed:</p>

<pre><code>express@2.5.3 /usr/lib/node_modules/express 
├── mkdirp@0.0.7
├── mime@1.2.4
├── qs@0.4.0
└── connect@1.8.5
</code></pre>

<p>However, I cannot use it, calling it on the command line gives me this error:</p>

<pre><code>$ /usr/bin/express -s -t jade

node.js:134
        throw e; // process.nextTick error, or 'error' event on first tick
        ^
TypeError: Object #&lt;Object&gt; has no method 'platform'
    at Object.&lt;anonymous&gt; (/usr/lib/node_modules/express/bin/express:34:25)
    at Module._compile (module.js:402:26)
    at Object..js (module.js:408:10)
    at Module.load (module.js:334:31)
    at Function._load (module.js:293:12)
    at Array.&lt;anonymous&gt; (module.js:421:10)
    at EventEmitter._tickCallback (node.js:126:26)
</code></pre>

<p>Could anyone give me a hint on what to do? Thanks!</p>
",<macos><node.js><express><npm>,1.0,0,0,1
149,149,8844708,1,0,1146734,4.0,1.0,0.0,0.0,2012-01-13T01:15:31.740,3.0,6262.0,NPM Install error,"<p>I'm trying to get my app to run locally. In an attempt to install NPM in the folder I am receiving an error when it hits to:</p>

<pre><code>npm ERR! error installing contextify@0.0.7
</code></pre>

<p>I have searched the web but all of the results turned up people getting errors get in Windows7. Im using OSX. I have XCode installed.</p>

<p>Below you will find the whole print out:</p>

<pre><code>gorteks$ npm install
npm http GET https://registry.npmjs.org/jquery
npm http 304 https://registry.npmjs.org/jquery
npm http GET https://registry.npmjs.org/jsdom
npm http GET https://registry.npmjs.org/htmlparser
npm http 304 https://registry.npmjs.org/htmlparser
npm WARN htmlparser@1.7.3 package.json: bugs['web'] should probably be bugs['url']
npm http 304 https://registry.npmjs.org/jsdom
npm http GET https://registry.npmjs.org/cssom
npm http GET https://registry.npmjs.org/contextify
npm http 304 https://registry.npmjs.org/cssom
npm http 304 https://registry.npmjs.org/contextify

&gt; contextify@0.0.7 preinstall /Users/gorteks/Sites/digidj-app/node_modules/jquery/node_modules/jsdom/node_modules/contextify
&gt; node-waf clean || (exit 0); node-waf configure build

Nothing to clean (project not configured)
Setting srcdir to                        : /Users/gorteks/Sites/digidj-   app/node_modules/jquery/node_modules/jsdom/node_modules/contextify 
Setting blddir to                        : /Users/gorteks/Sites/digidj-app/node_modules/jquery/node_modules/jsdom/node_modules/contextify/build 
Checking for program g++ or c++          : not found 
/Users/gorteks/Sites/digidj-  app/node_modules/jquery/node_modules/jsdom/node_modules/contextify/wscript:11: error: could   not configure a cxx compiler!
npm ERR! error installing contextify@0.0.7
npm ERR! error installing jsdom@0.2.10
npm ERR! error installing jquery@1.6.3
npm ERR! contextify@0.0.7 preinstall: `node-waf clean || (exit 0); node-waf configure build`
npm ERR! `sh ""-c"" ""node-waf clean || (exit 0); node-waf configure build""` failed with 1
npm ERR! 
npm ERR! Failed at the contextify@0.0.7 preinstall script.
npm ERR! This is most likely a problem with the contextify package,
npm ERR! not with npm itself.
npm ERR! Tell the author that this fails on your system:
npm ERR!     node-waf clean || (exit 0); node-waf configure build
npm ERR! You can get their info via:
npm ERR!     npm owner ls contextify
npm ERR! There is likely additional logging output above.
npm ERR! 
npm ERR! System Darwin 10.8.0
npm ERR! command ""node"" ""/usr/local/bin/npm"" ""install""
npm ERR! cwd /Users/gorteks/Sites/digidj-app
npm ERR! node -v v0.6.7
npm ERR! npm -v 1.1.0-beta-10
npm ERR! code ELIFECYCLE
npm ERR! message contextify@0.0.7 preinstall: `node-waf clean || (exit 0); node-waf       configure build`
npm ERR! message `sh ""-c"" ""node-waf clean || (exit 0); node-waf configure build""` failed   with 1
npm ERR! 
npm ERR! Additional logging details can be found in:
npm ERR!     /Users/gorteks/Sites/digidj-app/npm-debug.log
npm not ok
</code></pre>

<p>Thanks for all your help guys!</p>
",<javascript><node.js><express><npm>,0.0,0,0,1
171,171,9082088,1,0,1171382,1.0,2.0,0.0,0.0,2012-01-31T15:24:20.077,1.0,1017.0,installing express on windows issues,"<p>I am trying to install express framework for node on my Windows system, it always stops with an error: </p>

<blockquote>
  <p>info it worked if it ends with ok<br>
  verbose cli [ 'C:\Program Files (x86)\nodejs\\node.exe',<br>
  verbose cli   'C:\Program Files
  (x86)\nodejs\node_modules\npm\bin\npm-cli.js',        verbose cli
  'install',               verbose cli   '-g',             verbose cli<br>
  'express' ]            info using npm@1.1.0-3            info using
  node@v0.6.9             verbose config file C:\Users\kpatil.npmrc<br>
  verbose config file C:\Program Files (x86)\nodejs\etc\npmrc<br>
  verbose config file C:\Program Files
  (x86)\nodejs\node_modules\npm\npmrc             verbose mkdir done:
  C:\Users\kpatil\AppData\Roaming\npm 755               verbose cache
  add [ 'express', null ]                  silly cache add: name, spec,
  args [ undefined, 'express', [ 'express', null ] ]<br>
  verbose parsed url { pathname: 'express', path: 'express', href:
  'express' }              verbose addNamed [ 'express', '' ]<br>
  verbose addNamed [ null, '' ]                silly name, range,
  hasData [ 'express', '', false ]              verbose raw, before any
  munging express               verbose url resolving [
  'http://registry.npmjs.org/', './express' ]<br>
  verbose url resolved <a href=""http://registry.npmjs.org/express"" rel=""nofollow"">http://registry.npmjs.org/express</a>       http GET
  <a href=""http://registry.npmjs.org/express"" rel=""nofollow"">http://registry.npmjs.org/express</a>          ERR! Error: failed to fetch
  from registry: express            ERR!     at C:\Program Files
  (x86)\nodejs\node_modules\npm\lib\utils\npm-registry-client\get.js:139:12
  ERR!     at cb (C:\Program Files
  (x86)\nodejs\node_modules\npm\lib\utils\npm-registry-client\request.js:32:9)
  ERR!     at Request._callback (C:\Program Files
  (x86)\nodejs\node_modules\npm\lib\utils\npm-registry-client\request.js:137:18)
  ERR!     at Request.callback (C:\Program Files
  (x86)\nodejs\node_modules\npm\node_modules\request\main.js:109:22)<br>
  ERR!     at Request. (C:\Program Files
  (x86)\nodejs\node_modules\npm\node_modules\request\main.js:198:58)<br>
  ERR!     at Request.emit (events.js:88:20)               ERR!     at
  ClientRequest. (C:\Program Files
  (x86)\nodejs\node_modules\npm\node_modules\request\main.js:195:10)<br>
  ERR!     at ClientRequest.emit (events.js:67:17)                 ERR! 
  at Socket. (http.js:1134:11)                      ERR!<br>
  at Socket.emit (events.js:67:17)</p>
</blockquote>

<p>Any help appreciated...</p>
",<node.js><express><npm>,0.0,0,0,1
203,203,9484829,1,10033249,800737,29.0,9.0,0.0,0.0,2012-02-28T15:33:44.550,202.0,717290.0,npm can't find package.json,"<p>I'm trying to install the dependencies of some example: npm's <code>express 2.5.8</code> that I've downloaded, but all of the apps throw the same error:</p>

<pre><code>c:\node\stylus&gt;npm install -d
npm info it worked if it ends with ok
npm info using npm@1.1.1
npm info using node@v0.6.11
npm ERR! Couldn't read dependencies.

npm ERR! Error: ENOENT, no such file or directory 'c:\node\stylus\package.json'
npm ERR! You may report this log at:
npm ERR!     &lt;http://github.com/isaacs/npm/issues&gt;
npm ERR! or email it to:
npm ERR!     &lt;npm-@googlegroups.com&gt;
npm ERR!
npm ERR! System Windows_NT 6.1.7600
npm ERR! command ""C:\\Program Files (x86)\\nodejs\\\\node.exe"" ""C:\\Program File
s (x86)\\nodejs\\node_modules\\npm\\bin\\npm-cli.js"" ""install"" ""-d""
npm ERR! cwd c:\node\stylus
npm ERR! node -v v0.6.11
npm ERR! npm -v 1.1.1
npm ERR! path c:\node\stylus\package.json
npm ERR! code ENOENT
npm ERR! message ENOENT, no such file or directory 'c:\node\stylus\package.json'

npm ERR! errno {}
npm ERR!
npm ERR! Additional logging details can be found in:
npm ERR!     c:\node\stylus\npm-debug.log
npm not ok
</code></pre>

<p>The blockage appears to be: </p>

<blockquote>
  <p>no such file or directory 'c:\node\stylus\package.json</p>
</blockquote>

<p>Did I miss a step that creates the <code>package.json</code> ?</p>

<p>I'm running:</p>

<ul>
<li>Windows 7 64 bit</li>
<li>npm 1.1.1</li>
<li>node 6.11</li>
<li>express 2.5.8</li>
</ul>
",<node.js><express><npm>,0.0,0,0,1
224,224,9679730,1,27365640,54083,1.0,0.0,0.0,0.0,2012-03-13T07:12:09.867,6.0,1315.0,npm nested dependency management,"<p>I have a question about best practices in managing npm nested dependencies.</p>

<p>Let me explain my situation, and please tell me what I'm doing wrong, or what's the best way to approach this.</p>

<p>I'm running an app using express.js and express-mongostore in a nodeenv. Because of nodeenv, I'm npm-ing everything globally so they all go under the nenv/lib/node_modules folder. The thing is, I'm trying to develop off bleeding edge express.js while express-mongostore hasn't been updated in a while. After installing both modules, I get this folder structure.</p>

<pre><code>nodeenv / lib / node_modules / express / node_modules / connect / ..
                             /
                             / connect-mongodb / node_modules/ connect / ...
</code></pre>

<p>So what ends up happening is that I have 2 different versions of connect. </p>

<p>I got burnt because the cookie generated by the mongodb store and the one generated by the session middleware is different because they point to 2 different connect utils implementation (one calls the store which calls utils and the other calls utils directly. Unfortunately, they point to different files during require resolution). The actual difference here is that they sign the cookie using different algorithms. For a while, my sessions were invalidating themselves every page load and it took me a long while to debug down to this level.</p>

<p>I was reading on the Internets and it seems like this is supposed to be the npm way and a good thing. The issue here is that since express relies on a bunch of utils in connect and connect-mongodb inherits some of the same classes in connect, having them be different repos is problematic.</p>

<p>I currently still have 2 versions of connect and I patched one to be like the other. It is obvious that this is not a sustainable solution. How should I proceed and approach dependency management in this case?</p>

<p>Thanks in advance!</p>
",<node.js><express><npm>,0.0,0,0,1
250,250,10075969,1,10076059,498867,2.0,0.0,0.0,0.0,2012-04-09T16:01:30.557,0.0,2063.0,Problems installing express using npm.,"<p>Im trying to install express using npm, running this code:</p>

<p>npm install express mongoose jade less expresso</p>

<p>But i keep getting this error,</p>

<pre><code>&gt; make deps/jscoverage/node-jscoverage

sh: make: command not found

npm ERR! expresso@0.9.2 preinstall: `make deps/jscoverage/node-jscoverage`
npm ERR! `sh ""-c"" ""make deps/jscoverage/node-jscoverage""` failed with 127
npm ERR! Failed at the expresso@0.9.2 preinstall script.
npm ERR! This is most likely a problem with the expresso package,
npm ERR! not with npm itself.
npm ERR! Tell the author that this fails on your system:
npm ERR!     make deps/jscoverage/node-jscoverage
</code></pre>

<p>I searched a lot and can't seem to find the answer. Cheers. </p>
",<node.js><express><npm>,0.0,0,0,1
286,286,10733982,1,0,1059357,1.0,1.0,0.0,0.0,2012-05-24T08:42:03.960,5.0,864.0,Managing client side scripts with npm,"<p>Is it possible with NPM to manage the same dependencies for backend and the client-side scripts? I'm building a node.js application with express. When installing all dependencies, those scripts are installed into the node_modules folder. Is it possible to somehow tell express that it should look in those folder for javascript files for the client? E.g. when the client requests the file underscore.js, it should return the file from the installed module. Or is it possible to hook in to the npm installation procedure so that some files can be automatically copied to the public folder of the application?</p>
",<node.js><express><npm>,0.0,0,0,1
295,295,10921788,1,0,0,2.0,0.0,0.0,0.0,2012-06-06T20:32:02.660,1.0,1835.0,nodemailer nodejs: sendmail exited with 127,"<p>I would like to send an email from my server (kimsufi), to confirm registration.</p>

<p>So, i use <strong>nodemailer</strong> <a href=""https://github.com/andris9/Nodemailer"" rel=""nofollow"">https://github.com/andris9/Nodemailer</a></p>

<p>I have this error:</p>

<pre><code>Error occured
Sendmail exited with 127
</code></pre>

<p>What's mean ?</p>

<p>Thanks !</p>
",<javascript><node.js><email><express><npm>,0.0,0,0,1
297,297,10933809,1,11036794,277767,2.0,0.0,0.0,0.0,2012-06-07T14:26:10.497,0.0,274.0,Access bundled node.js module,"<p>I wrote a small express.js based web app. I serve a manifest.webapp but express.js doesn't send the correct mime type. But because express.js bundles the mime module <code>require(""mime"").define(...)</code> has no effect. It defines the mime type for the wrong module!</p>

<p>Is there a way to access the mime module that is bundled with express.js? Or is there a way to tell npm (and nodejitsu) to not use the bundled modules of express.js?</p>
",<node.js><express><npm>,0.0,0,0,1
325,325,11379919,1,0,1401549,18.0,2.0,0.0,0.0,2012-07-08T01:06:16.010,34.0,57671.0,"NPM, cannot find 'graceful-fs', no matter what I do","<p>This is what I get when I try to install express for node.js</p>

<pre><code>npm install express

module.js:340
    throw err;
          ^
Error: Cannot find module 'graceful-fs'
    at Function.Module._resolveFilename (module.js:338:15)
    at Function.Module._load (module.js:280:25)
    at Module.require (module.js:362:17)
    at require (module.js:378:17)
    at Object.&lt;anonymous&gt; (/usr/share/npm/lib/utils/ini.js:32:10)
    at Module._compile (module.js:449:26)
    at Object.Module._extensions..js (module.js:467:10)
    at Module.load (module.js:356:32)
    at Function.Module._load (module.js:312:12)
    at Module.require (module.js:362:17)
</code></pre>

<p>I even tried others and still got the same error. I did some digging and i did find 'gracefui-fs' on my server.</p>

<p>I am running ubuntu 12.04 LTS on an amazon ec2 server. Node installed with no errors, and npm still didn't work. I also un installed and re installed npm using </p>

<pre><code>apt-get
</code></pre>

<p>as well as from source. During installation I received no errors either.</p>
",<node.js><express><npm>,1.0,0,0,1
342,342,11660879,1,11660927,581135,1.0,0.0,0.0,0.0,2012-07-26T00:54:28.603,1.0,951.0,express.js trouble with connect modules,"<p>I am unable to use express.js submodules and I think I'm missing something basic vis a vis npm. I'm trying to follow <a href=""http://vimeo.com/17842590"" rel=""nofollow"">this tutorial</a> to build a simple authentication system.</p>

<p>Path to express in app dir:</p>

<pre><code>./node_modules/express/lib/express.js
</code></pre>

<p>My app:</p>

<pre><code>var express = require('express');
var app = express.createServer();
app.use(express.bodyDecoder()); // problems happen here
</code></pre>

<p>and here's what happens:</p>

<pre><code>meeeeee$ node app.js 

node.js:201
        throw e; // process.nextTick error, or 'error' event on first tick
              ^
TypeError: Object #&lt;Object&gt; has no method 'bodyDecoder'
    at Object.&lt;anonymous&gt; (/Users/nflacco/Projects/santorinillc/js/auth-demo/app.js:3:17)
    at Module._compile (module.js:441:26)
    at Object..js (module.js:459:10)
    at Module.load (module.js:348:31)
    at Function._load (module.js:308:12)
    at Array.0 (module.js:479:10)
    at EventEmitter._tickCallback (node.js:192:40)
</code></pre>

<p>Also for reference, my package.json file:</p>

<pre><code>{
    ""name"" : ""my dirty little app"",
    ""version"" : ""0.0.1"",
    ""dependencies"" : 
    {
        ""express"" : ""2.5.9"",
        ""connect"" : ""1.8.7"",
        ""optimist"" : ""0.3.4""
    }
}
</code></pre>
",<node.js><express><connect><npm>,1.0,0,0,1
351,351,11715486,1,11715748,608209,1.0,0.0,0.0,0.0,2012-07-30T04:42:16.467,3.0,3425.0,Node.js - Why does my project says can't find module when it is installed globally,"<p>I installed express globally using the command ""npm install -g express"". I verified express is present in my /usr/local/bin/"" directory.</p>

<p>However every time i create a new project and execute it says ""Can't find module express"".</p>

<p>When i install express locally using the command ""npm install express"" it works. Is this correct ?</p>
",<node.js><express><npm>,0.0,0,0,1
352,352,11716421,1,11716667,1320892,2.0,0.0,0.0,0.0,2012-07-30T06:36:52.073,195.0,129387.0,"Difference between `npm start` & `node app.js`, when starting app?","<p>I have installed an application using the command <code>express new 'filename'</code>.  I have just learned that you can start an application using:</p>

<pre><code>npm start
</code></pre>

<p>Thus far I have used:</p>

<pre><code>node app.js
</code></pre>

<p>to start my server. Anyone know what the difference is between the two? Thanks.</p>
",<node.js><express><npm>,0.0,0,0,1
